CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
canton;Urban;;;;;;;;x
annecy;Montane Urban;;;;;;;;x
kassel;Urban;;;;;;;;x
nagasaki;Mining District;;;;;;;;x
koblenz;Urban;;;;;;;;x
rouen;Urban;;;;;;;;x
lubeck;Urban;;;;;;;;x
pozan;Urban;;;;;;;;x
braunschweig;Urban;;;;;;;;x
linz;Forest;;;;;;;;x
catania;Urban Hills;;;;;;;;x
chemnitz;Urban;;;;;;;;x
stjohn;Taiga;;;;;;;;x
berlin;Urban;;;;;;;;x
paris;Urban;;;;;;;;x
london;Urban;;;;;;;;x
stpetersburg;Urban;;;;;;;;x
vienna;Urban;;;;;;;;x
newyork;Urban;;;;;;;;x
rome;Urban;;;;;;;;x
madrid;Urban;;;;;;;;x
stockholm;Urban;;;;;;;;x
istanbul;Urban;;;;;;;;x
warsaw;Urban;;;;;;;;x
athens;Urban;;;;;;;;x
lisbon;Urban;;;;;;;;x
amsterdam;Urban;;;;;;;;x
brussels;Mining District;;;;;;;;x
copenhagen;Urban;;;;;;;;x
oslo;Urban Hills;;;;;;;;x
helsinki;Urban;;;;;;;;x
munich;Urban Hills;;;;;;;;x
hanover;Urban;;;;;;;;x
dublin;Urban;;;;;;;;x
belgrade;Urban Hills;;;;;;;;x
turin;Urban;;;;;;;;x
naples;Urban;;;;;;;;x
bern;Montane Grassland;;;;;;;;x
pest;Urban;;;;;;;;x
bukarest;Urban;;;;;;;;x
cairo;Farmland;;;;;;;;x
prague;Urban;;;;;;;;x
cologne;Urban;;;;;;;;x
mexicocity;Urban Hills;;;;;;;;x
barcelona;Urban;;;;;;;;x
edinburgh;Urban;;;;;;;;x
edo;Urban;;;;;;;;x
hanseong;Forest;;;;;;;;x
peking;Hills;;;;;;;;x
shanghai;Urban;;;;;;;;x
hongkong;Urban;;;;;;;;x
macao;Urban;;;;;;;;x
kiev;Urban;;;;;;;;x
riga;Urban;;;;;;;;x
moscow;Urban;;;;;;;;x
minsk;Urban;;;;;;;;x
lyon;Grassland;;;;;;;;x
dc;Urban;;;;;;;;x
chicago;Mining District;;;;;;;;x
sanfrancisco;Urban;;;;;;;;x
hamburg;Urban;;;;;;;;x
dresden;Forest;;;;;;;;x
boston;Urban;;;;;;;;x
sofia;Urban Hills;;;;;;;;x
tehran;Urban Hills;;;;;;;;x
rennes;Urban Hills;;;;;;;;x
marseille;Urban;;;;;;;;x
bordeaux;Urban Port;;;;;;;;x
toulouse;Urban Hills;;;;;;;;x
bilbao;Urban Hills;;;;;;;;x
milan;Urban;;;;;;;;x
luxemburg;Mining District;;;;;;;;x
venice;Urban Port;;;;;;;;x
zagreb;Urban Hills;;;;;;;;x
salonika;Urban Hills;;;;;;;;x
ankara;Urban Hills;;;;;;;;x
tblisi;Montane Urban;;;;;;;;x
erivan;Urban Hills;;;;;;;;x
baku;Montane Urban;;;;;;;;x
jerusalem;Urban Semidesert;;;;;;;;x
baghdad;Farmland;;;;;;;;x
damascus;Semidesert;;;;;;;;x
lvov;Forest;;;;;;;;x
krakow;Urban;;;;;;;;x
karlsruhe;Urban;;;;;;;;x
stuttgart;Urban;;;;;;;;x
konigsberg;Farmland;;;;;;;;x
dusseldorf;Mining District;;;;;;;;x
dortmund;Urban;;;;;;;;x
magdeburg;Urban;;;;;;;;x
kiel;Canal;;;;;;;;x
stettin;Urban Port;;;;;;;;x
frankfurt;Urban;;;;;;;;x
nuremberg;Urban;;;;;;;;x
leipzig;Urban;;;;;;;;x
breslau;Farmland;;;;;;;;x
seville;Urban Port;;;;;;;;x
fez;Montane Urban;;;;;;;;x
gibraltar;Urban Port;;;;;;;;x
ceuta;Urban;;;;;;;;x
#melilla;Urban;;;;;;;;x
tangier;Urban Port;;;;;;;;x
algiers;Urban Hills;;;;;;;;x
zurich;Montane Urban;;;;;;;;x
strasburg;Forest;;;;;;;;x
liverpool;Urban;;;;;;;;x
manchester;Urban;;;;;;;;x
cardiff;Urban;;;;;;;;x
birmingham;Urban;;;;;;;;x
glasgow;Urban Hills;;;;;;;;x
southampton;Urban;;;;;;;;x
newcastle;Mining District;;;;;;;;x
sheffield;Mining District;;;;;;;;x
leeds;Urban;;;;;;;;x
bristol;Urban;;;;;;;;x
belfast;Urban Port;;;;;;;;x
goteborg;Urban Hills;;;;;;;;x
vilnius;Forest;;;;;;;;x
reval;Marsh;;;;;;;;x
